Aspect_Pair,Aspect1,Aspect2,Chi2_Statistic,P_Value,Degrees_of_Freedom,Cramers_V
Location#Transportation vs Location#Downtown,Location#Transportation,Location#Downtown,10903.797730287044,0.0,9,0.31405775352465926
Location#Transportation vs Location#Easy_to_find,Location#Transportation,Location#Easy_to_find,6217.367147451615,0.0,9,0.23715041204396903
Location#Transportation vs Service#Queue,Location#Transportation,Service#Queue,36.22017334650089,3.623371731276478e-05,9,0.018100721602668814
Location#Transportation vs Service#Hospitality,Location#Transportation,Service#Hospitality,412.7446279316729,2.6101813209368845e-83,9,0.06110283225628121
Location#Transportation vs Service#Parking,Location#Transportation,Service#Parking,981.7901550449895,1.455103623384299e-205,9,0.09423884679175748
Location#Transportation vs Service#Timely,Location#Transportation,Service#Timely,106.45255917422871,7.742269166896132e-19,9,0.031031207818166897
Location#Transportation vs Price#Level,Location#Transportation,Price#Level,128.3581788296279,2.5796708747179352e-23,9,0.03407472816205887
Location#Transportation vs Price#Cost_effective,Location#Transportation,Price#Cost_effective,63.47330361309553,2.8559268428208737e-10,9,0.02396162007592575
Location#Transportation vs Price#Discount,Location#Transportation,Price#Discount,88.90531462471014,2.699035559078008e-15,9,0.02835858049187827
Location#Transportation vs Ambience#Decoration,Location#Transportation,Ambience#Decoration,356.51255303494133,2.545999109944746e-71,9,0.056788191693603086
Location#Transportation vs Ambience#Noise,Location#Transportation,Ambience#Noise,99.75631963733257,1.7626009503057433e-17,9,0.030039371065264935
Location#Transportation vs Ambience#Space,Location#Transportation,Ambience#Space,260.8794423372133,5.020634772688212e-51,9,0.04857810343465588
Location#Transportation vs Ambience#Sanitary,Location#Transportation,Ambience#Sanitary,194.2161689219676,5.395313501886311e-37,9,0.04191440621566993
Location#Transportation vs Food#Portion,Location#Transportation,Food#Portion,102.14993942946433,5.7768819798848365e-18,9,0.030397627116660154
Location#Transportation vs Food#Taste,Location#Transportation,Food#Taste,437.45361437659517,1.3776551858428384e-88,9,0.06290521211498355
Location#Transportation vs Food#Appearance,Location#Transportation,Food#Appearance,110.63116325384142,1.0937380374423548e-19,9,0.03163438282751547
Location#Transportation vs Food#Recommend,Location#Transportation,Food#Recommend,57.400590377143,4.2350715776380175e-09,9,0.022786562088739894
Location#Downtown vs Location#Easy_to_find,Location#Downtown,Location#Easy_to_find,5671.42529647057,0.0,9,0.22649923239323014
Location#Downtown vs Service#Queue,Location#Downtown,Service#Queue,59.67215443006211,1.5505232622112905e-09,9,0.023233063829547828
Location#Downtown vs Service#Hospitality,Location#Downtown,Service#Hospitality,212.06023389422424,9.761115019288404e-41,9,0.04379759311101151
Location#Downtown vs Service#Parking,Location#Downtown,Service#Parking,117.57845926595117,4.180596254447956e-21,9,0.03261253130691784
Location#Downtown vs Service#Timely,Location#Downtown,Service#Timely,83.81577077803429,2.811430599981332e-14,9,0.027534899655390473
Location#Downtown vs Price#Level,Location#Downtown,Price#Level,18.830644634655638,0.02667201774987663,9,0.01305128340449121
Location#Downtown vs Price#Cost_effective,Location#Downtown,Price#Cost_effective,47.23977778645513,3.5409702035790585e-07,9,0.02067162174584745
Location#Downtown vs Price#Discount,Location#Downtown,Price#Discount,128.400722837451,2.52825973480237e-23,9,0.03408037468732029
Location#Downtown vs Ambience#Decoration,Location#Downtown,Ambience#Decoration,243.88374384627568,1.9487213789416517e-47,9,0.04696907995371592
Location#Downtown vs Ambience#Noise,Location#Downtown,Ambience#Noise,118.10094248988597,3.2689240369626703e-21,9,0.03268491111587993
Location#Downtown vs Ambience#Space,Location#Downtown,Ambience#Space,168.31211337355816,1.386322085904382e-31,9,0.03901919570430364
Location#Downtown vs Ambience#Sanitary,Location#Downtown,Ambience#Sanitary,173.14799024642502,1.3624199114894482e-32,9,0.03957576823570998
Location#Downtown vs Food#Portion,Location#Downtown,Food#Portion,22.911370873127193,0.006398463613268462,9,0.014396143408237812
Location#Downtown vs Food#Taste,Location#Downtown,Food#Taste,110.82627816575969,9.980986136214938e-20,9,0.0316622665655569
Location#Downtown vs Food#Appearance,Location#Downtown,Food#Appearance,100.0701787859033,1.5229193830676484e-17,9,0.03008658976413726
Location#Downtown vs Food#Recommend,Location#Downtown,Food#Recommend,48.66238234925552,1.9200740670594785e-07,9,0.02098057130354238
Location#Easy_to_find vs Service#Queue,Location#Easy_to_find,Service#Queue,76.55048193059922,7.803825211662218e-13,9,0.02631446780796213
Location#Easy_to_find vs Service#Hospitality,Location#Easy_to_find,Service#Hospitality,522.7672407755746,7.641840640394912e-107,9,0.06876616561890375
Location#Easy_to_find vs Service#Parking,Location#Easy_to_find,Service#Parking,409.77708695247304,1.1224049761311636e-82,9,0.06088277820216822
Location#Easy_to_find vs Service#Timely,Location#Easy_to_find,Service#Timely,135.03112611409475,1.0924261473512449e-24,9,0.03494922673962654
Location#Easy_to_find vs Price#Level,Location#Easy_to_find,Price#Level,26.268833660164457,0.0018459283791658365,9,0.015414911005975902
Location#Easy_to_find vs Price#Cost_effective,Location#Easy_to_find,Price#Cost_effective,57.23584586279529,4.554340971150513e-09,9,0.022753838919008725
Location#Easy_to_find vs Price#Discount,Location#Easy_to_find,Price#Discount,367.55025533309765,1.1353770960262316e-73,9,0.05766057792237176
Location#Easy_to_find vs Ambience#Decoration,Location#Easy_to_find,Ambience#Decoration,454.7922400411792,2.709709442550552e-92,9,0.06413973325913122
Location#Easy_to_find vs Ambience#Noise,Location#Easy_to_find,Ambience#Noise,145.20201067041245,8.681370001719537e-27,9,0.03624156486278447
Location#Easy_to_find vs Ambience#Space,Location#Easy_to_find,Ambience#Space,468.04535033449224,3.967509768528897e-95,9,0.06506757092731875
Location#Easy_to_find vs Ambience#Sanitary,Location#Easy_to_find,Ambience#Sanitary,311.97119352645086,7.520708039816453e-62,9,0.053122422764118375
Location#Easy_to_find vs Food#Portion,Location#Easy_to_find,Food#Portion,127.68242295596734,3.5514647784315326e-23,9,0.033984914704356564
Location#Easy_to_find vs Food#Taste,Location#Easy_to_find,Food#Taste,343.5214500855925,1.4816384584991007e-68,9,0.055743926546050995
Location#Easy_to_find vs Food#Appearance,Location#Easy_to_find,Food#Appearance,113.90924630585246,2.3477976779631512e-20,9,0.03209963659347735
Location#Easy_to_find vs Food#Recommend,Location#Easy_to_find,Food#Recommend,107.77980605782525,4.1603859334679913e-19,9,0.03122405659354208
Service#Queue vs Service#Hospitality,Service#Queue,Service#Hospitality,197.83822077795838,9.403598769055512e-38,9,0.042303443984325284
Service#Queue vs Service#Parking,Service#Queue,Service#Parking,72.8300524253794,4.232177342176308e-12,9,0.025667048889418672
Service#Queue vs Service#Timely,Service#Queue,Service#Timely,547.3088499693091,4.202690499052338e-112,9,0.07036178717350593
Service#Queue vs Price#Level,Service#Queue,Price#Level,43.82385483812445,1.520922537087403e-06,9,0.019910213393125323
Service#Queue vs Price#Cost_effective,Service#Queue,Price#Cost_effective,45.21927973642583,8.403662632156718e-07,9,0.020224716695498333
Service#Queue vs Price#Discount,Service#Queue,Price#Discount,43.73123388332,1.5818290929699987e-06,9,0.019889162319656834
Service#Queue vs Ambience#Decoration,Service#Queue,Ambience#Decoration,201.01626475364873,2.028465319431157e-38,9,0.04264186843877488
Service#Queue vs Ambience#Noise,Service#Queue,Ambience#Noise,205.94185325656798,1.8794018414607607e-39,9,0.04316114276458716
Service#Queue vs Ambience#Space,Service#Queue,Ambience#Space,218.14248643777887,5.144384984053113e-42,9,0.0444212480316265
Service#Queue vs Ambience#Sanitary,Service#Queue,Ambience#Sanitary,141.33598406750357,5.465753629379585e-26,9,0.03575584122243846
Service#Queue vs Food#Portion,Service#Queue,Food#Portion,80.78229676857377,1.1298317188956318e-13,9,0.027032033992452326
Service#Queue vs Food#Taste,Service#Queue,Food#Taste,93.38534764131049,3.3995248909645507e-16,9,0.029064308621603856
Service#Queue vs Food#Appearance,Service#Queue,Food#Appearance,19.797479378359625,0.019204202190434005,9,0.01338214022021319
Service#Queue vs Food#Recommend,Service#Queue,Food#Recommend,20.796925310265948,0.013583266970923399,9,0.013715769961539335
Service#Hospitality vs Service#Parking,Service#Hospitality,Service#Parking,224.89383391881023,1.955255700032208e-43,9,0.04510341240095762
Service#Hospitality vs Service#Timely,Service#Hospitality,Service#Timely,2238.182715044398,0.0,9,0.1422880394148087
Service#Hospitality vs Price#Level,Service#Hospitality,Price#Level,514.0291694072408,5.690145721567558e-105,9,0.06818902939992777
Service#Hospitality vs Price#Cost_effective,Service#Hospitality,Price#Cost_effective,603.5435683356915,3.634626461343162e-124,9,0.07388817496827174
Service#Hospitality vs Price#Discount,Service#Hospitality,Price#Discount,771.7972197851693,2.49644334886234e-160,9,0.08355495919246854
Service#Hospitality vs Ambience#Decoration,Service#Hospitality,Ambience#Decoration,1858.1996290705406,0.0,9,0.1296482953923827
Service#Hospitality vs Ambience#Noise,Service#Hospitality,Ambience#Noise,1385.7362739892037,9.332981882799119e-293,9,0.11195949201185747
Service#Hospitality vs Ambience#Space,Service#Hospitality,Ambience#Space,1010.1809266127491,1.0994124276527023e-211,9,0.09559170517734916
Service#Hospitality vs Ambience#Sanitary,Service#Hospitality,Ambience#Sanitary,2625.431043056904,0.0,9,0.15410649201921572
Service#Hospitality vs Food#Portion,Service#Hospitality,Food#Portion,721.8206832472613,1.406384078392897e-149,9,0.08080445169832788
Service#Hospitality vs Food#Taste,Service#Hospitality,Food#Taste,4333.670175381246,0.0,9,0.19799241553988467
Service#Hospitality vs Food#Appearance,Service#Hospitality,Food#Appearance,994.1450855834134,3.1551868653645258e-208,9,0.09482994780767738
Service#Hospitality vs Food#Recommend,Service#Hospitality,Food#Recommend,362.6650265292008,1.2466017259109386e-72,9,0.05727610345071158
Service#Parking vs Service#Timely,Service#Parking,Service#Timely,118.40614048617094,2.8313070121498846e-21,9,0.032727116253556794
Service#Parking vs Price#Level,Service#Parking,Price#Level,16.147475407099897,0.06386505764381102,9,0.012085731522809378
Service#Parking vs Price#Cost_effective,Service#Parking,Price#Cost_effective,15.698335243136968,0.07345468873121981,9,0.01191646457361834
Service#Parking vs Price#Discount,Service#Parking,Price#Discount,48.87244510420628,1.7537482125471817e-07,9,0.021025806353827222
Service#Parking vs Ambience#Decoration,Service#Parking,Ambience#Decoration,242.7941838442656,3.3082270300207495e-47,9,0.04686404442459629
Service#Parking vs Ambience#Noise,Service#Parking,Ambience#Noise,124.89628018722408,1.3256181924862086e-22,9,0.03361207922200933
Service#Parking vs Ambience#Space,Service#Parking,Ambience#Space,278.8350640083879,7.982935769006791e-55,9,0.05022203653268771
Service#Parking vs Ambience#Sanitary,Service#Parking,Ambience#Sanitary,135.16599912019268,1.0247061168617957e-24,9,0.03496667653415675
Service#Parking vs Food#Portion,Service#Parking,Food#Portion,33.68227017928933,0.00010152921073415503,9,0.017455058317605316
Service#Parking vs Food#Taste,Service#Parking,Food#Taste,87.2789683583382,5.714256122971724e-15,9,0.028098001325743374
Service#Parking vs Food#Appearance,Service#Parking,Food#Appearance,34.18492325776127,8.289492465484634e-05,9,0.017584820161589212
Service#Parking vs Food#Recommend,Service#Parking,Food#Recommend,59.19680077844818,1.9141289044085314e-09,9,0.02314034048067833
Service#Timely vs Price#Level,Service#Timely,Price#Level,104.9586634626934,1.5566781459139505e-18,9,0.03081270119719027
Service#Timely vs Price#Cost_effective,Service#Timely,Price#Cost_effective,122.22611846572195,4.676616643409875e-22,9,0.03325084118199137
Service#Timely vs Price#Discount,Service#Timely,Price#Discount,100.61347862975363,1.1823942387905578e-17,9,0.030168152090250942
Service#Timely vs Ambience#Decoration,Service#Timely,Ambience#Decoration,178.93672442301477,8.447203388898774e-34,9,0.04023188377882294
Service#Timely vs Ambience#Noise,Service#Timely,Ambience#Noise,131.4583158561267,5.944055488371723e-24,9,0.03448376355543757
Service#Timely vs Ambience#Space,Service#Timely,Ambience#Space,99.92764215523547,1.6274449541492182e-17,9,0.030065154960322416
Service#Timely vs Ambience#Sanitary,Service#Timely,Ambience#Sanitary,274.580688282305,6.350215025909567e-54,9,0.04983742799491103
Service#Timely vs Food#Portion,Service#Timely,Food#Portion,332.31409571003894,3.5832042261591187e-66,9,0.0548270662879105
Service#Timely vs Food#Taste,Service#Timely,Food#Taste,563.9515155228893,1.134974862727001e-115,9,0.0714235628671366
Service#Timely vs Food#Appearance,Service#Timely,Food#Appearance,104.56028841053019,1.8751583653349513e-18,9,0.030754170148966913
Service#Timely vs Food#Recommend,Service#Timely,Food#Recommend,76.89360883052574,6.674408594027958e-13,9,0.026373377341332157
Price#Level vs Price#Cost_effective,Price#Level,Price#Cost_effective,5720.15244377822,0.0,9,0.22747015736152926
Price#Level vs Price#Discount,Price#Level,Price#Discount,730.1264098815034,2.3008101534682437e-151,9,0.08126801563516968
Price#Level vs Ambience#Decoration,Price#Level,Ambience#Decoration,139.4098357763417,1.3656944398504497e-25,9,0.035511362394671085
Price#Level vs Ambience#Noise,Price#Level,Ambience#Noise,80.0904585208621,1.5506264242878502e-13,9,0.026916030797517643
Price#Level vs Ambience#Space,Price#Level,Ambience#Space,69.74627820342008,1.7074669961450572e-11,9,0.025117773821891693
Price#Level vs Ambience#Sanitary,Price#Level,Ambience#Sanitary,56.203765655089654,7.176335793471617e-09,9,0.022547756375068263
Price#Level vs Food#Portion,Price#Level,Food#Portion,1379.498845442716,2.0778462486824574e-291,9,0.11170723371658045
Price#Level vs Food#Taste,Price#Level,Food#Taste,636.9402755576098,2.455030405748024e-131,9,0.0759049296797276
Price#Level vs Food#Appearance,Price#Level,Food#Appearance,92.06302223709827,6.271368459820982e-16,9,0.02885780141106388
Price#Level vs Food#Recommend,Price#Level,Food#Recommend,108.4770242514117,3.001578808643431e-19,9,0.03132488664473341
Price#Cost_effective vs Price#Discount,Price#Cost_effective,Price#Discount,1041.7604328871728,1.70003131467801e-218,9,0.09707436442614338
Price#Cost_effective vs Ambience#Decoration,Price#Cost_effective,Ambience#Decoration,111.78487272363355,6.366004595280671e-20,9,0.03179890350857491
Price#Cost_effective vs Ambience#Noise,Price#Cost_effective,Ambience#Noise,69.5646391764724,1.8533157209066504e-11,9,0.02508504560748407
Price#Cost_effective vs Ambience#Space,Price#Cost_effective,Ambience#Space,62.54248901902338,4.3267290428938214e-10,9,0.02378527664471853
Price#Cost_effective vs Ambience#Sanitary,Price#Cost_effective,Ambience#Sanitary,191.0198977273638,2.5183747690205887e-36,9,0.041568076691076775
Price#Cost_effective vs Food#Portion,Price#Cost_effective,Food#Portion,1467.8825610948593,1.6580412574745e-310,9,0.11523019107149096
Price#Cost_effective vs Food#Taste,Price#Cost_effective,Food#Taste,1328.0473887089117,2.706846671451078e-280,9,0.10960425455287522
Price#Cost_effective vs Food#Appearance,Price#Cost_effective,Food#Appearance,320.5420742292094,1.1377570853315691e-63,9,0.05384720280922018
Price#Cost_effective vs Food#Recommend,Price#Cost_effective,Food#Recommend,226.70971234979544,8.109702142179927e-44,9,0.04528513737049736
Price#Discount vs Ambience#Decoration,Price#Discount,Ambience#Decoration,157.21484042933486,2.813376400388601e-29,9,0.03771094331696814
Price#Discount vs Ambience#Noise,Price#Discount,Ambience#Noise,126.23196668469625,7.051536455110014e-23,9,0.033791331183919526
Price#Discount vs Ambience#Space,Price#Discount,Ambience#Space,97.65028082431107,4.695877273795786e-17,9,0.029720586457515637
Price#Discount vs Ambience#Sanitary,Price#Discount,Ambience#Sanitary,160.68341047951014,5.355297161497202e-30,9,0.03812467472610879
Price#Discount vs Food#Portion,Price#Discount,Food#Portion,172.80647403283456,1.605108933024897e-32,9,0.03953671944950538
Price#Discount vs Food#Taste,Price#Discount,Food#Taste,402.4117236556705,4.1887556034987838e-81,9,0.0603331414488282
Price#Discount vs Food#Appearance,Price#Discount,Food#Appearance,137.92083550893648,2.770791474812001e-25,9,0.035321209466312904
Price#Discount vs Food#Recommend,Price#Discount,Food#Recommend,97.66092561043513,4.672695138822274e-17,9,0.029722206323133663
Ambience#Decoration vs Ambience#Noise,Ambience#Decoration,Ambience#Noise,26477.34063709183,0.0,9,0.48939306171680863
Ambience#Decoration vs Ambience#Space,Ambience#Decoration,Ambience#Space,19432.429205294575,0.0,9,0.41926071789877334
Ambience#Decoration vs Ambience#Sanitary,Ambience#Decoration,Ambience#Sanitary,19547.290918186245,0.0,9,0.4204979809119527
Ambience#Decoration vs Food#Portion,Ambience#Decoration,Food#Portion,128.5742115180298,2.3289964834992965e-23,9,0.034103390770355194
Ambience#Decoration vs Food#Taste,Ambience#Decoration,Food#Taste,812.3200364535433,4.7368593426961545e-169,9,0.08572040402257883
Ambience#Decoration vs Food#Appearance,Ambience#Decoration,Food#Appearance,710.710556398346,3.4444945299507906e-147,9,0.08018017681693404
Ambience#Decoration vs Food#Recommend,Ambience#Decoration,Food#Recommend,179.4832006326187,6.495755991313645e-34,9,0.040293271419532234
Ambience#Noise vs Ambience#Space,Ambience#Noise,Ambience#Space,29055.14595186821,0.0,9,0.5126632155796695
Ambience#Noise vs Ambience#Sanitary,Ambience#Noise,Ambience#Sanitary,30546.667135516,0.0,9,0.5256571096963918
Ambience#Noise vs Food#Portion,Ambience#Noise,Food#Portion,58.96757352192444,2.1186484492649808e-09,9,0.023095493954326706
Ambience#Noise vs Food#Taste,Ambience#Noise,Food#Taste,330.34437835493407,9.397424330542822e-66,9,0.05466433721815423
Ambience#Noise vs Food#Appearance,Ambience#Noise,Food#Appearance,347.199113622081,2.4447802213990726e-69,9,0.05604152314845272
Ambience#Noise vs Food#Recommend,Ambience#Noise,Food#Recommend,123.62817360965379,2.41283507213196e-22,9,0.03344100749750593
Ambience#Space vs Ambience#Sanitary,Ambience#Space,Ambience#Sanitary,21725.456120197043,0.0,9,0.4433074992067932
Ambience#Space vs Food#Portion,Ambience#Space,Food#Portion,77.16876367249638,5.887718548190009e-13,9,0.0264205222361022
Ambience#Space vs Food#Taste,Ambience#Space,Food#Taste,258.86139672476605,1.340477598581144e-50,9,0.04838984952534131
Ambience#Space vs Food#Appearance,Ambience#Space,Food#Appearance,285.3333329211429,3.3562050979602238e-56,9,0.05080387996104948
Ambience#Space vs Food#Recommend,Ambience#Space,Food#Recommend,83.79431003548106,2.839277666004482e-14,9,0.027531374321089926
Ambience#Sanitary vs Food#Portion,Ambience#Sanitary,Food#Portion,178.62607769247356,9.807490357731408e-34,9,0.040196945919579924
Ambience#Sanitary vs Food#Taste,Ambience#Sanitary,Food#Taste,1345.7253456612398,4.109736234775902e-284,9,0.11033132723705039
Ambience#Sanitary vs Food#Appearance,Ambience#Sanitary,Food#Appearance,735.1231083346429,1.937314571613494e-152,9,0.08154562467709024
Ambience#Sanitary vs Food#Recommend,Ambience#Sanitary,Food#Recommend,166.0400388369813,4.119376040423626e-31,9,0.03875493739712062
Food#Portion vs Food#Taste,Food#Portion,Food#Taste,2175.212318232825,0.0,9,0.1402721499735043
Food#Portion vs Food#Appearance,Food#Portion,Food#Appearance,869.8964487007556,1.8913600629246863e-181,9,0.08870628786119206
Food#Portion vs Food#Recommend,Food#Portion,Food#Recommend,621.088352258128,6.224035136431198e-128,9,0.07495443224543155
Food#Taste vs Food#Appearance,Food#Taste,Food#Appearance,3626.4135658459345,0.0,9,0.18111703166007903
Food#Taste vs Food#Recommend,Food#Taste,Food#Recommend,1686.2805082792695,0.0,9,0.12350528339873483
Food#Appearance vs Food#Recommend,Food#Appearance,Food#Recommend,1082.3838351451182,2.932475602362172e-227,9,0.0989489694438693
